高得点基準以上の大項目
ID,ID1,高得点基準,平均点,項目
3,1,5.6,5.6,患者への接近
3,2,5.8,5.8,内なる力を強める
3,6,5.6,5.6,インシデントを防ぐ
低得点基準以下の大項目
ID,ID1,低得点基準,平均点,項目
2,1,18,16.8,患者への接近
2,2,12,10.0,内なる力を強める
2,3,9.7,8.6,家族の絆を強める
3,3,5,3.4,家族の絆を強める
高得点基準以上の中項目
ID,ID1,ID2,高得点基準,平均点,項目
3,1,1,5.6,5.6,患者への接近
3,2,1,5.8,5.8,内なる力を強める。
3,6,1,5.6,5.6,インシデントを防ぐ
低得点基準以下の中項目
ID,ID1,ID2,低得点基準,平均点,項目
2,1,1,6.8,6.8,看護師は根拠を持って患者や家族のことを把握している。
2,1,3,4.5,3.0,看護師は患者や家族との関係づくりをしている。
2,2,1,6.5,5.6,患者の状況理解をすすめる。
2,2,2,6.5,4.4,予測や見通しを高める。
2,3,1,6.1,5.4,家族／重要他者とともにいる場を確保する。
2,3,2,3.9,3.2,患者ケアへの家族の参加を支援する。
2,4,2,11,10.8,苦痛を緩和する。
2,4,3,4,2.4,継続性・個別性のあるケアをする。
3,3,1,5,3.4,家族の絆を強める。
基準点以下の質問
ID,ID1,ID2,ID3,ID4,基準点,点数,項目
