高得点基準以上の大項目
ID,ID1,高得点基準,平均点,項目
低得点基準以下の大項目
ID,ID1,低得点基準,平均点,項目
2,1,18,15.6,患者への接近
2,2,12,9.6,内なる力を強める
2,3,9.7,6.4,家族の絆を強める
3,3,5,3.3,家族の絆を強める
3,6,5,4.5,インシデントを防ぐ
高得点基準以上の中項目
ID,ID1,ID2,高得点基準,平均点,項目
2,1,1,8,8.0,看護師は根拠を持って患者や家族のことを把握している。
2,4,1,5.3,5.4,看護師は患者の状況にあった保清をする。
2,4,3,5.3,5.4,継続性・個別性のあるケアをする。
低得点基準以下の中項目
ID,ID1,ID2,低得点基準,平均点,項目
2,1,2,6.7,4.8,看護師は患者や家族のおかれている状態・状況を把握している。
2,1,3,4.5,2.8,看護師は患者や家族との関係づくりをしている。
2,2,1,6.5,4.8,患者の状況理解をすすめる。
2,2,2,6.5,4.8,予測や見通しを高める。
2,3,1,6.1,3.6,家族／重要他者とともにいる場を確保する。
2,3,2,3.9,2.8,患者ケアへの家族の参加を支援する。
2,6,1,6.5,6.2,看護師は危険性を見極めながら、患者の危険なサインが出たらすぐにストップできるという構えを持ち、ケアしている。
2,6,2,4.8,4.8,看護師は自らの判断で、必要に応じて指示の確認をする。
3,3,1,5,3.3,家族の絆を強める。
3,6,1,5,4.5,インシデントを防ぐ
基準点以下の質問
ID,ID1,ID2,ID3,ID4,基準点,点数,項目
